City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,constitucion,-35.3333,-72.4167,47.86,79,41,5.75,CL,1690433651
300,barras,-4.2444,-42.2944,68.95,94,7,2.55,BR,1690433682
301,manokwari,-0.8667,134.0833,83.14,74,43,6.58,ID,1690433683
302,kill devil hills,36.0307,-75.676,82.98,83,0,11.5,US,1690433542
303,port shepstone,-30.7414,30.455,66.69,80,12,24.94,ZA,1690433684
304,sarmiento,-45.5882,-69.07,35.13,59,100,4.29,AR,1690433684
305,mount gambier,-37.8333,140.7667,61.29,57,57,10.58,AU,1690433684
306,nikolayevsk-on-amure,53.1406,140.73,83.25,43,99,5.97,RU,1690433684
307,sretensk,52.2453,117.7093,80.38,47,88,6.29,RU,1690433684
308,mildura,-34.2,142.15,67.06,39,19,17.63,AU,1690433684
309,daru,-9.0763,143.2092,78.73,81,57,19.22,PG,1690433685
310,qaqortoq,60.7167,-46.0333,44.46,80,95,7.45,GL,1690433685
311,san mateo del mar,16.2,-95.0,83.44,72,65,23.09,MX,1690433685
312,lebu,-37.6167,-73.65,47.46,86,94,1.7,CL,1690433686
313,necochea,-38.5473,-58.7368,46.45,76,92,12.64,AR,1690433686
314,chelno-vershiny,54.4333,51.1,81.23,43,27,12.97,RU,1690433686
315,borogontsy,62.6683,131.1683,75.07,40,78,4.29,RU,1690433686
316,mazagao,-0.115,-51.2894,77.05,91,41,3.65,BR,1690433687
317,guatrache,-37.6678,-63.5302,40.39,58,100,5.99,AR,1690433687
318,gadzhiyevo,69.2551,33.3362,51.84,92,100,1.36,RU,1690433687
319,sake,-1.5736,29.045,62.19,64,28,1.03,CD,1690433687
320,wuhai,39.6647,106.8122,86.9,34,100,15.03,CN,1690433687
321,zhangye,38.9342,100.4517,92.61,13,51,4.81,CN,1690433688
322,coronel suarez,-37.4547,-61.9334,35.51,82,94,2.19,AR,1690433688
323,anadyr,64.75,177.4833,55.9,76,75,11.18,RU,1690433688
324,port saint john's,-31.6229,29.5448,63.99,70,76,4.54,ZA,1690433688
325,nabire,-3.3667,135.4833,86.79,63,76,5.79,ID,1690433688
326,mossel bay,-34.1831,22.146,49.93,81,16,6.46,ZA,1690433689
327,kuzovatovo,53.5468,47.6866,79.12,52,8,10.96,RU,1690433689
328,san rafael del yuma,18.4299,-68.6739,76.57,83,100,5.21,DO,1690433689
329,idri,27.5,13.2667,83.57,12,0,3.02,LY,1690433689
